title,year,cinema_link,stars, wikipediaLink, sale, duration, year, poster, language
انتقام برادر, 1310, http://www.cinema-theatre.com/performance_5/فیلم-انتقام-برادر/,عبدالحسین لجستی ، رضا شهابی ، احمد مرادی ، کاظم پورحسن ، لیدا ماطاوسیان ، علی فصیحی ، ژاسمین ژوزف|,,,,,,
حاجی آقا اکتور سینما, 1312, http://www.cinema-theatre.com/performance_6/فیلم-حاجی-آقا-اکتور-سینما/,حبیب اله مراد ، آسیا قسطانیان ، زما آگانیانس ، عباس خان طاهباز ، عباسقلی خان عدالت پور ، غلامعلی خان سهرابی فرد ، آوانس اوگانیانس|,,,,,,
دختر لر, 1312, http://www.cinema-theatre.com/performance_7/فیلم-دختر-لر/,روح انگیز ، عبدالحسین سپنتا ، هادی ، سهراب پوری|,,,,,,
بوالهوس, 1313, http://www.cinema-theatre.com/performance_8/فیلم-بوالهوس/,محمدعلی قطبی ، احمد دهقان ، احمد گرجی ، احمد مرادی ، قدسی پرتوی ، آسیه ، توران ویسی|,,,,,,
شیرین و فرهاد, 1313, http://www.cinema-theatre.com/performance_9/فیلم-شیرین-و-فرهاد/,فخرالزمان جبار وزیری ، عبدالحسین سپنتا ، ایران دفتری ، روح انگیز|, https://fa.wikipedia.org//wiki/%D8%B4%DB%8C%D8%B1%DB%8C%D9%86_%D9%88_%D9%81%D8%B1%D9%87%D8%A7%D8%AF_(%D9%81%DB%8C%D9%84%D9%85_%DB%B1%DB%B3%DB%B4%DB%B9), , 90 , 1349, https://upload.wikimedia.org/wikipedia/fa/thumb/4/41/Shirin_va_Farhad_Poster.jpg/220px-Shirin_va_Farhad_Poster.jpg, fa
فردوسی, 1313, http://www.cinema-theatre.com/performance_10/فیلم-فردوسی/,عبدالحسین سپنتا ، نصرت اله محتشم ، سهراب پوری|,,,,,,
چشم های سیاه, 1315, http://www.cinema-theatre.com/performance_11/فیلم-چشم-های-سیاه/,عبدالحسین سپنتا ، فخرالزمان جبار وزیری ، سهراب پوری ، گلاب ، شامی ، امیر حسینی|,,,,,,
لیلی و مجنون, 1316, http://www.cinema-theatre.com/performance_12/فیلم-لیلی-و-مجنون/,عبدالحسین سپنتا ، فخرالزمان جبار وزیری ، محمد حسین کرمانشاهی ، عابد شیرازی ، مارکر ، منوچهر آریان ، باقر بصروی ، زاهد بصروی ، لورنین|, https://fa.wikipedia.org//wiki/%D9%84%DB%8C%D9%84%DB%8C_%D9%88_%D9%85%D8%AC%D9%86%D9%88%D9%86_(%D9%81%DB%8C%D9%84%D9%85_%DB%B1%DB%B3%DB%B4%DB%B9), , 90 , 1349, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Emoji_u1f3a5.svg/30px-Emoji_u1f3a5.svg.png, fa
زندانی امیر, 1327, http://www.cinema-theatre.com/performance_13/فیلم-زندانی-امیر/,زینت مودب ، منوچهر طایفی ، مهراقدس خواجه نوری ، ژاله ، علی کیائی ، ناصر صانعی|,,,,,,
طوفان زندگی, 1327, http://www.cinema-theatre.com/performance_14/فیلم-طوفان-زندگی/,مهراقدس خواجه نوری ، اونیا اوشید ، زینت مودب ، فرهاد معتمدی ، رقیه چهره آزاد ، حسین محسنی ، علی کیائی ، فرامرز بردیا ، اسد آموزش|,,,,,,
